City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
7,Yarada,IN,84.52,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
8,Atuona,PF,79.27,scattered clouds,-9.8,-139.0333,Villa Enata
11,Alofi,NU,75.54,light rain,-19.0595,-169.9187,Taloa Heights
12,Rikitea,PF,78.15,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Hithadhoo,MV,84.85,overcast clouds,-0.6,73.0833,Scoop Guest House
26,Shenzhen,CN,81.21,clear sky,22.5455,114.0683,Grand Skylight
35,Kapaa,US,78.78,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
41,Lompoc,US,76.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
45,Razole,IN,79.38,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
48,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
53,Hilo,US,78.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
55,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
59,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
61,Mecca,SA,85.64,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
65,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
74,Hambantota,LK,81.01,broken clouds,6.1241,81.1185,Bungalow 63
76,Gat,IL,77.4,overcast clouds,31.61,34.7642,OlusHome
78,Calderitas,MX,84.31,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
80,Acarau,BR,79.43,broken clouds,-2.8856,-40.12,castelo pizzaria
82,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
85,Thatta,PK,81.93,clear sky,24.7475,67.9235,We Care Guest House & Shadi lawn
87,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,Eufaula,US,80.33,light rain,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
101,The Valley,AI,81.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
102,Faanui,PF,82.72,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
105,Butaritari,KI,81.01,light rain,3.0707,172.7902,Isles Sunset Lodge
111,Namatanai,PG,80.17,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
112,Kavieng,PG,82.96,clear sky,-2.5744,150.7967,Nusa Island Retreat
116,Caravelas,BR,78.58,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
119,Tual,ID,83.5,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
121,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
123,Japura,ID,76.23,light rain,-0.3167,102.35,Rumah mbah Jamah
124,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
125,Touros,BR,81.18,clear sky,-5.1989,-35.4608,INN NEW HORIZON
130,Sao Jose Da Coroa Grande,BR,79.12,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
131,Nishihara,JP,77.05,overcast clouds,26.1842,127.7558,Minshuku Agaihama
139,Puerto Escondido,MX,88.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
142,Dingle,PH,77.41,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
149,Kirakira,SB,80.58,broken clouds,-10.4544,161.9205,SanBiz Lodge
150,Hobyo,SO,84.15,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
154,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
157,Ahwa,IN,79.66,clear sky,20.75,73.6833,GREEN ORAA HOMESTAY AHWA
164,Kokopo,PG,77.18,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
167,Trairi,BR,77.85,broken clouds,-3.2778,-39.2689,janelas do mar
168,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
171,Lorengau,PG,81.14,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
179,Alugan,PH,80.53,moderate rain,12.2188,125.4808,JM Lodge
183,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
185,Dzaoudzi,YT,80.49,few clouds,-12.7887,45.2699,Le Rocher
186,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
191,Santa Quiteria Do Maranhao,BR,81.86,broken clouds,-3.5156,-42.5467,Hotel Santa Quiteria
196,Saint George,US,83.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
206,Axim,GH,80.8,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
211,Victoria,HK,81.32,clear sky,22.2855,114.1577,Mini Hotel Central
216,Bambanglipuro,ID,77.02,overcast clouds,-7.95,110.2833,Puri Brata
217,San Patricio,US,75.87,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
228,Laguna,US,76.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
230,Buala,SB,80.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
231,Banjar,ID,76.41,overcast clouds,-8.19,114.9675,The Hamsa Resort
