City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Rio Gallegos,AR,-51.6226,-69.2181,41.05,65,75,17.27,broken clouds
80,Acarau,BR,-2.8856,-40.12,79.43,86,71,12.53,broken clouds
81,Half Moon Bay,US,37.4636,-122.4286,70.29,63,0,21.85,haze
82,Port Hedland,AU,-20.3167,118.5667,77.05,78,100,9.22,overcast clouds
83,Kruisfontein,ZA,-34.0033,24.7314,52.88,93,0,7.34,clear sky
84,Lima,PE,-12.0432,-77.0282,71.65,73,37,7.36,scattered clouds
85,Thatta,PK,24.7475,67.9235,81.93,69,0,12.53,clear sky
86,Dubti,ET,11.7361,41.0853,90.54,40,6,14.56,light rain
87,Puerto Ayora,EC,-0.7393,-90.3518,78.76,75,88,7.92,overcast clouds
88,Tezu,IN,27.9167,96.1667,68.76,63,80,5.32,broken clouds
89,Darnah,LY,32.767,22.6367,63.37,68,6,2.8,clear sky
90,Mongo,TD,12.1844,18.693,93.04,30,90,1.74,overcast clouds
91,Severo-Yeniseyskiy,RU,60.3725,93.0408,7.57,98,47,2.62,scattered clouds
92,Mutoko,ZW,-17.397,32.2268,64.47,76,69,4.7,broken clouds
93,Nemuro,JP,43.3236,145.575,41.83,100,100,9.95,light rain
94,Camacha,PT,33.0833,-16.3333,62.02,63,40,11.5,scattered clouds
95,Colac,AU,-38.3333,143.5833,63.84,77,100,6.8,light rain
96,Eufaula,US,31.8913,-85.1455,80.33,73,92,13.27,light rain
97,Inza,RU,53.8533,46.3586,53.78,93,22,6.78,few clouds
98,Castro,BR,-24.7911,-50.0119,73.15,75,50,3.78,heavy intensity rain
99,Bethanien,NA,-26.502,17.1583,66.9,29,2,1.86,clear sky
100,Morehead,US,37.2711,-87.1764,58.98,43,0,13.8,clear sky
101,The Valley,AI,18.217,-63.0578,81.1,61,20,11.5,few clouds
102,Faanui,PF,-16.4833,-151.75,82.72,72,30,20.27,scattered clouds
103,Kahului,US,20.8947,-156.47,82.42,64,40,14.97,scattered clouds
104,Vao,NC,-22.6667,167.4833,74.25,58,100,17.47,overcast clouds
105,Butaritari,KI,3.0707,172.7902,81.01,83,35,19.19,light rain
106,Flinders,AU,-34.5833,150.8552,61.18,93,100,5.99,overcast clouds
107,Antofagasta,CL,-23.65,-70.4,64.74,75,100,8.63,overcast clouds
108,Lagoa,PT,39.05,-27.9833,61.2,84,100,21.81,overcast clouds
109,Hofn,IS,64.2539,-15.2082,45.97,81,17,11.68,few clouds
110,Zarand,IR,30.8127,56.564,68.79,36,99,8.48,overcast clouds
111,Namatanai,PG,-3.6667,152.4333,80.17,81,12,7.65,few clouds
112,Kavieng,PG,-2.5744,150.7967,82.96,77,4,14.2,clear sky
113,Jamestown,US,42.097,-79.2353,46.02,57,100,6.91,overcast clouds
114,Thompson,CA,55.7435,-97.8558,36.43,55,5,6.76,clear sky
115,Athens,GR,37.9795,23.7162,68.16,53,0,2.3,clear sky
116,Caravelas,BR,-17.7125,-39.2481,78.58,73,0,5.55,clear sky
117,Norman Wells,CA,65.282,-126.8329,37.76,83,100,6.2,overcast clouds
118,Chuy,UY,-33.6971,-53.4616,71.04,82,57,9.64,broken clouds
119,Tual,ID,-5.6667,132.75,83.5,73,97,4.34,overcast clouds
120,Tuktoyaktuk,CA,69.4541,-133.0374,14.0,85,100,6.91,fog
121,Acapulco,MX,16.8634,-99.8901,85.82,66,0,13.8,clear sky
122,Nadvoitsy,RU,63.8667,34.3167,24.85,82,95,10.67,overcast clouds
123,Japura,ID,-0.3167,102.35,76.23,96,98,1.68,light rain
124,Georgetown,MY,5.4112,100.3354,80.53,89,20,5.75,few clouds
125,Touros,BR,-5.1989,-35.4608,81.18,75,7,14.32,clear sky
126,Shimanovsk,RU,52.0,127.7,30.18,67,10,9.93,clear sky
127,Hasaki,JP,35.7333,140.8333,72.28,87,100,32.84,heavy intensity rain
128,Itupiranga,BR,-5.1347,-49.3267,91.72,76,81,4.09,broken clouds
129,Roswell,US,34.0232,-84.3616,65.08,87,100,9.22,overcast clouds
130,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.12,73,10,10.27,clear sky
131,Nishihara,JP,26.1842,127.7558,77.05,97,100,17.27,overcast clouds
132,Xai-Xai,MZ,-25.0519,33.6442,71.22,73,30,12.24,scattered clouds
133,Lingdong,CN,46.5669,131.1453,37.6,67,100,19.46,overcast clouds
134,Avera,US,33.194,-82.5271,80.65,69,86,9.84,overcast clouds
135,Mao,ES,39.8885,4.2658,59.56,77,0,6.91,clear sky
136,Xiaoweizhai,CN,26.1903,107.5125,65.07,97,1,2.59,clear sky
137,Codrington,AU,-38.2667,141.9667,59.9,77,100,9.37,overcast clouds
138,Naze,JP,28.3667,129.4833,73.8,85,100,15.05,overcast clouds
139,Puerto Escondido,MX,15.85,-97.0667,88.63,66,0,8.05,clear sky
140,Gorontalo,ID,0.5412,123.0595,74.95,95,100,1.77,overcast clouds
141,Sangar,RU,63.9242,127.4739,0.16,98,40,2.21,scattered clouds
142,Dingle,PH,10.9995,122.6711,77.41,89,100,7.27,overcast clouds
143,Sukhobuzimskoye,RU,56.5,93.2728,35.64,93,98,7.09,overcast clouds
144,Geraldton,AU,-28.7667,114.6,59.41,82,75,19.57,light intensity shower rain
145,Mnogovershinnyy,RU,53.9353,139.9242,23.23,96,100,16.8,snow
146,Tortoli,IT,39.9256,9.6572,57.51,76,0,3.15,clear sky
147,Yelizovo,RU,53.1873,158.3805,35.74,60,0,2.24,clear sky
148,Nanortalik,GL,60.1432,-45.2371,37.45,82,100,5.35,overcast clouds
149,Kirakira,SB,-10.4544,161.9205,80.58,81,67,4.5,broken clouds
150,Hobyo,SO,5.3505,48.5268,84.15,64,45,10.2,scattered clouds
151,Chokurdakh,RU,70.6333,147.9167,4.95,98,100,6.42,overcast clouds
152,Qandala,SO,11.472,49.8728,86.34,58,5,8.01,clear sky
153,Necochea,AR,-38.5473,-58.7368,68.85,81,100,15.14,light rain
154,Bambous Virieux,MU,-20.3428,57.7575,76.21,79,30,13.02,light rain
155,Khatanga,RU,71.9667,102.5,10.36,94,100,7.05,overcast clouds
156,Barcelos,PT,41.5388,-8.6151,59.14,94,1,3.4,clear sky
157,Ahwa,IN,20.75,73.6833,79.66,22,0,1.68,clear sky
158,Sioux Lookout,CA,50.1001,-91.917,28.74,71,100,8.16,overcast clouds
159,Kargasok,RU,59.0556,80.8572,37.36,99,100,6.8,overcast clouds
160,Dali,CN,25.7,100.1833,55.9,61,0,5.28,clear sky
161,Teguldet,RU,57.3064,88.1667,30.27,97,100,2.84,overcast clouds
162,Narsaq,GL,60.9167,-46.05,43.02,74,99,0.85,overcast clouds
163,Bafoulabe,ML,13.8065,-10.8321,96.96,15,1,6.13,clear sky
164,Kokopo,PG,-4.352,152.2633,77.18,84,11,3.29,few clouds
165,Yuancheng,CN,36.652,107.7896,59.41,48,100,4.38,overcast clouds
166,Aripuana,BR,-9.1667,-60.6333,86.34,62,73,2.26,broken clouds
167,Trairi,BR,-3.2778,-39.2689,77.85,90,77,8.08,broken clouds
168,Mahebourg,MU,-20.4081,57.7,76.24,80,23,13.15,light rain
169,Saldanha,ZA,-33.0117,17.9442,58.3,81,0,16.31,clear sky
170,Zambezi,ZM,-13.5432,23.1047,65.21,74,95,5.48,overcast clouds
171,Lorengau,PG,-2.0226,147.2712,81.14,83,34,7.9,scattered clouds
172,Lashio,MM,22.9333,97.75,66.47,43,0,1.5,clear sky
173,Ilulissat,GL,69.2167,-51.1,35.62,80,100,6.91,light rain
174,Poya,NC,-21.35,165.15,69.75,76,99,5.44,overcast clouds
175,Port Alfred,ZA,-33.5906,26.891,57.18,90,6,4.0,clear sky
176,Tiksi,RU,71.6872,128.8694,-5.24,100,59,3.53,broken clouds
177,Lukulu,ZM,-14.3707,23.242,67.24,55,98,6.38,overcast clouds
178,Cape Town,ZA,-33.9258,18.4232,60.91,73,0,11.99,clear sky
179,Alugan,PH,12.2188,125.4808,80.53,87,100,11.43,moderate rain
180,Ancud,CL,-41.8697,-73.8203,43.23,70,100,16.04,light rain
181,Constantine,DZ,36.365,6.6147,67.41,55,40,2.3,scattered clouds
182,Yerbogachen,RU,61.2767,108.0108,23.29,97,58,4.03,broken clouds
183,Cayenne,GF,4.9333,-52.3333,84.24,1,20,11.5,few clouds
184,Vardo,NO,70.3705,31.1107,17.58,93,100,31.07,fog
185,Dzaoudzi,YT,-12.7887,45.2699,80.49,89,20,4.61,few clouds
186,San Cristobal,VE,7.7669,-72.225,80.78,71,96,2.46,overcast clouds
187,Coquimbo,CL,-29.9533,-71.3436,67.73,59,20,9.22,few clouds
188,Kerman,IR,30.2832,57.0788,66.06,27,0,9.22,clear sky
189,Chapais,CA,49.7834,-74.8492,33.58,82,100,9.73,overcast clouds
190,Okhotsk,RU,59.3833,143.3,20.86,82,3,8.9,clear sky
191,Santa Quiteria Do Maranhao,BR,-3.5156,-42.5467,81.86,79,71,4.59,broken clouds
192,Korem,ET,12.5058,39.5228,59.88,66,89,1.25,light rain
193,Aklavik,CA,68.2191,-135.0107,30.06,94,76,5.61,broken clouds
194,Tasiilaq,GL,65.6145,-37.6368,33.96,89,87,3.36,overcast clouds
195,Uglegorsk,RU,49.0833,142.0333,31.87,89,100,7.67,snow
196,Saint George,US,37.1041,-113.5841,83.79,9,0,7.0,clear sky
197,Insar,RU,53.8653,44.3738,58.17,84,96,7.09,overcast clouds
198,Pandamatenga,BW,-18.5278,25.627,72.63,49,86,4.0,overcast clouds
199,Bilibino,RU,68.0546,166.4372,23.59,82,100,4.9,overcast clouds
200,Krasnoselkup,RU,65.7,82.4667,13.71,91,55,8.88,broken clouds
201,Iqaluit,CA,63.7506,-68.5145,5.7,55,57,2.1,broken clouds
202,Lasa,IT,46.6166,10.7002,43.36,94,79,5.41,broken clouds
203,Along,IN,28.1667,94.7667,65.01,84,57,1.63,broken clouds
204,Cherskiy,RU,68.75,161.3,28.44,87,100,3.69,overcast clouds
205,Airai,TL,-8.9266,125.4092,58.5,89,100,0.36,overcast clouds
206,Axim,GH,4.8699,-2.2405,80.8,85,77,8.46,broken clouds
207,Saint-Francois,FR,46.4154,3.9054,51.67,71,0,6.91,clear sky
208,Vokhtoga,RU,58.8147,41.0461,37.81,97,45,4.16,scattered clouds
209,Severo-Kurilsk,RU,50.6789,156.125,30.72,83,70,8.01,broken clouds
210,Milkovo,RU,54.7167,158.6167,30.09,73,10,3.27,clear sky
211,Victoria,HK,22.2855,114.1577,81.32,86,2,5.99,clear sky
212,Pevek,RU,69.7008,170.3133,25.59,71,100,8.7,overcast clouds
213,Suez,EG,29.9737,32.5263,68.88,51,88,16.13,overcast clouds
214,Ust-Kut,RU,56.7938,105.7672,33.76,96,100,9.28,snow
215,San Quintin,MX,30.4833,-115.95,68.77,59,100,12.97,overcast clouds
216,Bambanglipuro,ID,-7.95,110.2833,77.02,90,86,4.43,overcast clouds
217,San Patricio,US,28.017,-97.5169,75.87,59,100,10.4,overcast clouds
218,Kabare,CD,-2.4683,28.8242,62.56,97,100,2.13,light rain
219,Kamaishi,JP,39.2667,141.8833,59.52,93,100,15.37,light rain
220,Luangwa,ZM,-15.6167,30.4167,74.7,70,40,5.32,scattered clouds
221,Hovd,MN,48.0056,91.6419,37.63,48,64,2.21,broken clouds
222,Ukiah,US,39.1502,-123.2078,70.16,47,0,9.22,clear sky
223,Port Elizabeth,ZA,-33.918,25.5701,55.09,84,21,10.42,few clouds
224,Pereslavl-Zalesskiy,RU,56.7393,38.8563,43.02,91,40,5.1,scattered clouds
225,Isilkul,RU,54.9109,71.2728,49.28,60,11,2.51,few clouds
226,Eskisehir,TR,39.7767,30.5206,60.93,54,0,10.36,clear sky
227,Ust-Koksa,RU,50.2696,85.6108,33.4,83,41,1.88,scattered clouds
228,Laguna,US,38.421,-121.4238,76.32,38,0,8.05,clear sky
229,Palaikastron,GR,35.2,26.25,63.9,58,49,7.18,scattered clouds
230,Buala,SB,-8.145,159.5921,80.35,80,82,3.78,light rain
231,Banjar,ID,-8.19,114.9675,76.41,77,100,3.47,overcast clouds
232,Guerrero Negro,MX,27.9769,-114.0611,76.84,36,7,14.56,clear sky
233,Salalah,OM,17.0151,54.0924,82.49,69,20,4.61,few clouds
234,Bosaso,SO,11.2842,49.1816,84.56,62,6,1.97,clear sky
235,Kushima,JP,31.4583,131.2333,71.38,96,100,7.34,light rain
236,Toora-Khem,RU,52.4675,96.11,26.89,90,87,0.4,overcast clouds
237,Arkhangelsk,RU,64.5401,40.5433,30.31,86,100,8.95,light shower snow
238,Virginia Beach,US,36.8529,-75.978,89.65,42,75,17.27,broken clouds
239,Miyako,JP,39.6367,141.9525,61.5,90,100,9.1,light rain
240,Sindor,RU,62.8629,51.8905,38.34,94,100,6.42,overcast clouds
241,Tomatlan,MX,19.9333,-105.25,89.47,44,0,13.0,clear sky
242,Pisco,PE,-13.7,-76.2167,71.65,68,0,18.41,clear sky
243,Medicine Hat,CA,50.0501,-110.6683,70.72,22,100,8.01,overcast clouds
244,Mizdah,LY,31.4451,12.9801,64.67,44,9,17.47,clear sky
245,Akureyri,IS,65.6835,-18.0878,44.26,77,100,3.56,overcast clouds
246,Moerai,PF,-22.4333,-151.3333,79.93,82,91,18.45,overcast clouds
247,Ilo,PE,-17.6394,-71.3375,70.66,64,0,14.97,clear sky
248,Dwarka,IN,22.2394,68.9678,81.36,78,0,10.83,clear sky
249,Katsuura,JP,35.1333,140.3,69.82,91,100,31.47,light rain
250,Digby,CA,44.6169,-65.7655,49.59,74,100,15.75,overcast clouds
251,Windsor,CA,42.3001,-83.0165,46.98,73,100,12.66,overcast clouds
252,Karratha,AU,-20.7377,116.8463,79.72,57,100,12.1,light rain
253,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,87,40,4.61,scattered clouds
254,Prince Rupert,CA,54.3161,-130.3201,47.88,62,76,6.13,light rain
255,Cabo San Lucas,MX,22.8909,-109.9124,88.61,32,0,11.5,clear sky
256,Brownsville,US,25.9018,-97.4975,75.15,86,100,13.8,overcast clouds
257,Zalantun,CN,48.0,122.7167,32.88,70,0,10.07,clear sky
258,Burnie,AU,-41.0667,145.9167,56.59,83,100,11.16,moderate rain
259,Puerto Parra,CO,6.6515,-74.0573,90.9,50,37,2.95,scattered clouds
260,Clyde River,CA,70.4692,-68.5914,23.23,93,100,11.5,snow
261,Olinda,BR,-8.0089,-34.8553,83.93,61,40,10.36,scattered clouds
262,Paita,PE,-5.0892,-81.1144,72.7,72,27,16.42,scattered clouds
263,Araouane,ML,18.9048,-3.5265,82.81,22,2,10.13,clear sky
264,Biak,ID,-0.9131,122.8766,77.27,85,100,2.17,overcast clouds
265,Hastings,GB,50.8552,0.5729,50.79,64,11,11.86,few clouds
266,San Antonio,US,29.4241,-98.4936,74.48,66,100,9.22,overcast clouds
267,Salamiyah,SY,35.0113,37.0532,68.99,41,5,4.88,clear sky
268,Yar-Sale,RU,66.8333,70.8333,29.53,95,100,19.46,overcast clouds
269,Viransehir,TR,37.2353,39.7631,60.49,75,100,8.72,overcast clouds
270,Izumo,JP,35.3667,132.7667,63.82,97,100,7.58,light rain
271,Makuyuni,TZ,-4.7333,38.1,71.8,95,100,4.99,overcast clouds
272,Haines Junction,CA,60.7522,-137.5108,43.65,74,100,3.94,overcast clouds
273,Berezovka,BY,53.7214,25.4993,41.86,81,25,5.08,scattered clouds
274,Padang,ID,-0.9492,100.3543,78.67,86,100,3.67,overcast clouds
275,Grande Prairie,CA,55.1667,-118.8027,49.03,45,100,4.52,overcast clouds
276,Snezhnogorsk,RU,69.1933,33.2531,19.18,72,71,23.96,broken clouds
277,Lebanon,US,36.2081,-86.2911,65.16,46,0,11.99,clear sky
278,Ocna Sibiului,RO,45.8833,24.05,59.22,58,20,2.3,few clouds
279,Tarata,BO,-17.6167,-66.0167,78.08,22,9,7.74,clear sky
280,Lesnoy,RU,57.6198,63.0784,51.42,76,93,11.16,overcast clouds
281,Ryde,GB,50.73,-1.1621,53.35,70,87,5.99,overcast clouds
282,South River,US,40.4465,-74.386,71.26,73,98,1.01,overcast clouds
283,West Helena,US,34.5507,-90.6418,64.08,47,0,13.18,clear sky
284,Iralaya,HN,15.0,-83.2333,80.67,83,97,10.65,overcast clouds
285,Mar Del Plata,AR,-38.0023,-57.5575,71.62,94,75,15.01,light rain
286,Waddan,LY,29.1614,16.139,80.22,17,72,23.0,broken clouds
287,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.96,98,100,1.52,moderate rain
288,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,75.43,97,100,3.2,overcast clouds
289,Osijek,HR,45.5511,18.6939,55.31,88,0,6.91,clear sky
290,Ulladulla,AU,-35.35,150.4667,59.77,93,85,2.53,overcast clouds
291,Podyuga,RU,61.095,40.8647,37.78,92,80,6.58,broken clouds
292,Akdagmadeni,TR,39.6603,35.8836,59.09,50,80,2.13,broken clouds
293,Xining,CN,36.6167,101.7667,52.86,46,14,5.19,few clouds
294,Pacific Grove,US,36.6177,-121.9166,71.55,71,20,14.0,few clouds
295,Maceio,BR,-9.6658,-35.7353,80.04,83,75,3.44,broken clouds
296,Gushikawa,JP,26.3544,127.8686,77.0,91,100,16.11,overcast clouds
297,Ambunti,PG,-4.2365,142.8448,72.99,96,82,1.3,broken clouds
298,Awjilah,LY,29.1081,21.2869,83.16,13,82,15.08,broken clouds
